company,location,industry,total_laid_off,percentage_laid_off,date,country,mass_layoff
PayU,Amsterdam,Finance,150.0,0.06,2022-12-26,Netherlands,1
Willow,Sydney,Real Estate,99.0,0.22,2022-12-23,Australia,1
Back Market,Paris,Retail,93.0,0.13,2022-12-23,France,1
TuSimple,San Diego,Transportation,350.0,0.25,2022-12-21,United States,1
Chope,Singapore,Food,65.0,0.24,2022-12-20,Singapore,1
Briza,Toronto,Finance,26.0,0.4,2022-12-20,Canada,0
Homebot,Denver,Real Estate,18.0,0.13,2022-12-19,United States,0
Tomorrow,Hamburg,Finance,30.0,0.25,2022-12-16,Germany,0
Revelate,Montreal,Data,24.0,0.3,2022-12-16,Canada,0
BigCommerce,Austin,Retail,180.0,0.13,2022-12-15,United States,1
Freshworks,SF Bay Area,Support,90.0,0.02,2022-12-15,United States,1
LeafLink,New York City,Other,80.0,0.31,2022-12-15,United States,1
Workmotion,Berlin,HR,60.0,0.2,2022-12-15,United States,1
JD.ID,Jakarta,Retail,200.0,0.3,2022-12-14,Indonesia,1
Headspace,Los Angeles,Healthcare,50.0,0.04,2022-12-14,United States,1
ChowNow,Los Angeles,Food,40.0,0.1,2022-12-14,United States,0
Thumbtack,SF Bay Area,Consumer,160.0,0.14,2022-12-13,United States,1
Edgio,Phoenix,Infrastructure,95.0,0.1,2022-12-13,United States,1
Komodo Health,SF Bay Area,Healthcare,78.0,0.09,2022-12-13,United States,1
Viant,Los Angeles,Marketing,46.0,0.13,2022-12-13,United States,0
Pluralsight,Salt Lake City,Education,400.0,0.2,2022-12-12,United States,1
Outschool,SF Bay Area,Education,43.0,0.25,2022-12-10,United States,0
Xentral,Munich,Product,20.0,0.1,2022-12-10,Germany,0
Playtika,Tel Aviv,Consumer,600.0,0.15,2022-12-09,Israel,1
Share Now,Berlin,Transportation,150.0,0.36,2022-12-09,Germany,1
Alice,Sao Paulo,Healthcare,113.0,0.16,2022-12-09,Brazil,1
Primer,London,Finance,85.0,0.33,2022-12-09,United Kingdom,1
OneFootball,Berlin,Marketing,62.0,0.115,2022-12-09,Germany,1
C2FO,Kansas City,Finance,20.0,0.02,2022-12-09,United States,0
Airtable,SF Bay Area,Product,254.0,0.2,2022-12-08,United States,1
Swiggy,Bengaluru,Food,250.0,0.03,2022-12-08,India,1
Glints,Singapore,HR,198.0,0.18,2022-12-08,Singapore,1
Buser,Sao Paulo,Transportation,160.0,0.3,2022-12-08,Brazil,1
BlackLine,Los Angeles,Finance,95.0,0.05,2022-12-08,United States,1
Otonomo,Tel Aviv,Transportation,80.0,0.5,2022-12-08,Israel,1
TechTarget,Boston,Marketing,60.0,0.05,2022-12-08,United States,1
CyCognito,SF Bay Area,Security,30.0,0.15,2022-12-08,United States,0
Armis,SF Bay Area,Security,25.0,0.04,2022-12-08,United States,0
Loft,Sao Paulo,Real Estate,312.0,0.12,2022-12-07,Brazil,1
Plaid,SF Bay Area,Finance,260.0,0.2,2022-12-07,United States,1
Motive,SF Bay Area,Transportation,237.0,0.06,2022-12-07,United States,1
Relativity,Chicago,Legal,150.0,0.1,2022-12-07,United States,1
Voi,Stockholm,Transportation,130.0,0.13,2022-12-07,United States,1
Integral Ad Science,New York City,Marketing,120.0,0.13,2022-12-07,United States,1
Houzz,SF Bay Area,Consumer,95.0,0.08,2022-12-07,United States,1
Grover,Berlin,Retail,40.0,0.1,2022-12-07,United States,0
Lev,New York City,Real Estate,30.0,0.3,2022-12-07,United States,0
Lithic,New York City,Finance,27.0,0.18,2022-12-07,United States,0
Doma,SF Bay Area,Finance,515.0,0.4,2022-12-06,United States,1
BuzzFeed,New York City,Media,180.0,0.12,2022-12-06,United States,1
Weedmaps,Los Angeles,Other,175.0,0.25,2022-12-06,United States,1
Chipper Cash,SF Bay Area,Finance,50.0,0.125,2022-12-06,United States,1
