location,industry,total_laid_off,percentage_laid_off,date,country
SF Bay Area,Retail,400.0,0.18,2022-06-30,United States
Bengaluru,Education,170.0,1.0,2022-06-30,India
New York City,Finance,40.0,0.08,2022-06-30,United States
New York City,Retail,30.0,0.2,2022-06-30,United States
Boston,Security,30.0,,2022-06-30,United States
Boulder,Product,20.0,0.12,2022-06-30,United States
Hamburg,Finance,14.0,0.1,2022-06-30,Germany
SF Bay Area,Crypto,12.0,0.05,2022-06-30,United States
Los Angeles,Legal,,1.0,2022-06-30,United States
SF Bay Area,Finance,,,2022-06-30,United States
SF Bay Area,Real Estate,,0.15,2022-06-30,United States
Mumbai,Education,350.0,,2022-06-29,India
SF Bay Area,Other,200.0,0.04,2022-06-29,United States
SF Bay Area,Consumer,85.0,0.08,2022-06-29,United States
Los Angeles,Travel,80.0,,2022-06-29,United States
Seattle,Data,80.0,0.19,2022-06-29,United States
Toronto,Transportation,76.0,0.22,2022-06-29,Canada
Nashua,Infrastructure,60.0,,2022-06-29,United States
New Delhi,Transportation,40.0,0.2,2022-06-29,India
Berlin,Other,18.0,0.3,2022-06-29,Germany
SF Bay Area,Transportation,16.0,0.25,2022-06-29,United States
SF Bay Area,Media,13.0,0.14,2022-06-29,United States
Huntsville,Retail,,,2022-06-29,United States
SF Bay Area,Education,,0.15,2022-06-29,United States
SF Bay Area,Real Estate,,0.19,2022-06-29,United States
SF Bay Area,Retail,,,2022-06-29,United States
Sydney,Finance,,1.0,2022-06-29,Australia
Beijing,Crypto,300.0,0.3,2022-06-28,China
Mumbai,Education,300.0,,2022-06-28,India
Detroit,Retail,120.0,0.08,2022-06-28,United States
Los Angeles,Healthcare,110.0,0.4,2022-06-28,United States
Detroit,Retail,80.0,,2022-06-28,United States
Dubai,Healthcare,50.0,0.1,2022-06-28,United Arab Emirates
SF Bay Area,Data,30.0,0.08,2022-06-28,Israel
Sydney,Healthcare,18.0,0.5,2022-06-28,Australia
Sydney,Retail,,,2022-06-28,Australia
Bengaluru,Healthcare,,0.3,2022-06-28,India
Singapore,Retail,,0.1,2022-06-28,Singapore
SF Bay Area,Marketing,300.0,0.12,2022-06-27,United States
New York City,Data,210.0,0.05,2022-06-27,United States
Bengaluru,Retail,180.0,0.04,2022-06-27,India
San Diego,Healthcare,170.0,,2022-06-27,United States
Melbourne,Crypto,70.0,0.3,2022-06-27,Australia
SF Bay Area,Data,27.0,0.25,2022-06-27,United States
Chicago,Finance,,0.18,2022-06-27,United States
SF Bay Area,Marketing,43.0,,2022-06-26,United States
Vienna,Crypto,270.0,0.27,2022-06-24,Austria
Atlanta,Finance,90.0,0.23,2022-06-24,United States
Dallas,Finance,41.0,0.14,2022-06-24,United States
SF Bay Area,Finance,40.0,0.12,2022-06-24,United States
New York City,Retail,,,2022-06-24,United States
Boston,Healthcare,,,2022-06-24,United States
SF Bay Area,Media,300.0,0.03,2022-06-23,United States
Boston,Security,70.0,0.09,2022-06-23,United States
Spokane,Security,22.0,0.13,2022-06-23,United States
SF Bay Area,Finance,15.0,0.07,2022-06-23,United States
Los Angeles,Marketing,8.0,0.13,2022-06-23,United States
Seattle,Other,,0.12,2022-06-23,United States
Nairobi,Food,,1.0,2022-06-23,Kenya
New York City,Other,,,2022-06-23,United States
New York City,Real Estate,,0.1,2022-06-23,United States
New York City,Healthcare,,0.18,2022-06-23,United States
Tel Aviv,Media,,0.2,2022-06-23,Israel
SF Bay Area,Education,120.0,0.2,2022-06-22,United States
Washington D.C.,Security,90.0,0.35,2022-06-22,United States
SF Bay Area,Real Estate,70.0,,2022-06-22,United States
Washington D.C.,Security,55.0,0.17,2022-06-22,United States
New York City,Support,50.0,,2022-06-22,United States
Boston,Transportation,35.0,0.07,2022-06-22,United States
Stockholm,Transportation,35.0,0.1,2022-06-22,United States
St. Louis,Sales,30.0,,2022-06-22,United States
Toronto,Food,23.0,0.16,2022-06-22,Canada
Luxembourg,Media,,,2022-06-22,Luxembourg
Sydney,Food,,0.5,2022-06-22,Australia
Curitiba,Finance,340.0,0.2,2022-06-21,Brazil
Los Angeles,Support,52.0,0.0,2022-06-21,United States
Los Angeles,Marketing,40.0,0.3,2022-06-21,United States
SF Bay Area,Product,24.0,0.08,2022-06-21,United States
Bogota,Food,,0.03,2022-06-21,Colombia
Bengaluru,Education,,1.0,2022-06-21,India
SF Bay Area,Data,,0.1,2022-06-21,United States
Singapore,Crypto,600.0,0.3,2022-06-20,Singapore
SF Bay Area,Healthcare,101.0,1.0,2022-06-20,United States
Singapore,Retail,100.0,0.12,2022-06-20,Singapore
Chennai,Food,80.0,0.3,2022-06-20,India
Toronto,Retail,30.0,0.55,2022-06-20,Canada
Sydney,Energy,30.0,0.15,2022-06-20,Australia
New York City,Media,,0.2,2022-06-20,United States
Singapore,Crypto,,,2022-06-20,Singapore
Gurugram,Retail,191.0,0.3,2022-06-19,India
Dubai,Crypto,9.0,0.05,2022-06-19,United Arab Emirates
Bengaluru,Education,150.0,0.03,2022-06-18,India
Shanghai,Consumer,150.0,,2022-06-17,China
