location,industry,total_laid_off,percentage_laid_off,date,country
SF Bay Area,Retail,400.0,0.18,2022-06-30,United States
Bengaluru,Education,170.0,1.0,2022-06-30,India
New York City,Finance,40.0,0.08,2022-06-30,United States
New York City,Retail,30.0,0.2,2022-06-30,United States
Boulder,Product,20.0,0.12,2022-06-30,United States
Hamburg,Finance,14.0,0.1,2022-06-30,Germany
SF Bay Area,Crypto,12.0,0.05,2022-06-30,United States
SF Bay Area,Other,200.0,0.04,2022-06-29,United States
SF Bay Area,Consumer,85.0,0.08,2022-06-29,United States
Seattle,Data,80.0,0.19,2022-06-29,United States
Toronto,Transportation,76.0,0.22,2022-06-29,Canada
New Delhi,Transportation,40.0,0.2,2022-06-29,India
Berlin,Other,18.0,0.3,2022-06-29,Germany
SF Bay Area,Transportation,16.0,0.25,2022-06-29,United States
SF Bay Area,Media,13.0,0.14,2022-06-29,United States
Beijing,Crypto,300.0,0.3,2022-06-28,China
Detroit,Retail,120.0,0.08,2022-06-28,United States
Los Angeles,Healthcare,110.0,0.4,2022-06-28,United States
Dubai,Healthcare,50.0,0.1,2022-06-28,United Arab Emirates
SF Bay Area,Data,30.0,0.08,2022-06-28,Israel
Sydney,Healthcare,18.0,0.5,2022-06-28,Australia
SF Bay Area,Marketing,300.0,0.12,2022-06-27,United States
New York City,Data,210.0,0.05,2022-06-27,United States
Bengaluru,Retail,180.0,0.04,2022-06-27,India
Melbourne,Crypto,70.0,0.3,2022-06-27,Australia
SF Bay Area,Data,27.0,0.25,2022-06-27,United States
Vienna,Crypto,270.0,0.27,2022-06-24,Austria
Atlanta,Finance,90.0,0.23,2022-06-24,United States
Dallas,Finance,41.0,0.14,2022-06-24,United States
SF Bay Area,Finance,40.0,0.12,2022-06-24,United States
SF Bay Area,Media,300.0,0.03,2022-06-23,United States
Boston,Security,70.0,0.09,2022-06-23,United States
Spokane,Security,22.0,0.13,2022-06-23,United States
SF Bay Area,Finance,15.0,0.07,2022-06-23,United States
Los Angeles,Marketing,8.0,0.13,2022-06-23,United States
SF Bay Area,Education,120.0,0.2,2022-06-22,United States
Washington D.C.,Security,90.0,0.35,2022-06-22,United States
Washington D.C.,Security,55.0,0.17,2022-06-22,United States
Boston,Transportation,35.0,0.07,2022-06-22,United States
Stockholm,Transportation,35.0,0.1,2022-06-22,United States
Toronto,Food,23.0,0.16,2022-06-22,Canada
Curitiba,Finance,340.0,0.2,2022-06-21,Brazil
Los Angeles,Support,52.0,0.0,2022-06-21,United States
Los Angeles,Marketing,40.0,0.3,2022-06-21,United States
SF Bay Area,Product,24.0,0.08,2022-06-21,United States
Singapore,Crypto,600.0,0.3,2022-06-20,Singapore
SF Bay Area,Healthcare,101.0,1.0,2022-06-20,United States
Singapore,Retail,100.0,0.12,2022-06-20,Singapore
Chennai,Food,80.0,0.3,2022-06-20,India
Toronto,Retail,30.0,0.55,2022-06-20,Canada
Sydney,Energy,30.0,0.15,2022-06-20,Australia
Gurugram,Retail,191.0,0.3,2022-06-19,India
Dubai,Crypto,9.0,0.05,2022-06-19,United Arab Emirates
Bengaluru,Education,150.0,0.03,2022-06-18,India
Reno,Finance,69.0,0.13,2022-06-17,United States
Columbus,Security,16.0,0.2,2022-06-17,United States
New York City,Food,50.0,0.05,2022-06-16,United States
SF Bay Area,Real Estate,45.0,0.15,2022-06-16,United States
Helsinki,Retail,250.0,0.17,2022-06-15,Finland
Toronto,Finance,159.0,0.13,2022-06-15,Canada
SF Bay Area,Food,150.0,0.1,2022-06-15,United States
Boston,Legal,110.0,0.25,2022-06-15,United States
Tel Aviv,Media,60.0,0.15,2022-06-15,Israel
SF Bay Area,Other,23.0,0.23,2022-06-15,United States
Tel Aviv,Media,14.0,0.05,2022-06-15,Israel
Toronto,Logistics,10.0,0.3,2022-06-15,Canada
SF Bay Area,Crypto,1100.0,0.18,2022-06-14,United States
Seattle,Real Estate,470.0,0.08,2022-06-14,United States
New York City,Real Estate,450.0,0.1,2022-06-14,United States
Sao Paulo,Healthcare,75.0,0.15,2022-06-14,Brazil
New Delhi,Healthcare,50.0,0.33,2022-06-14,India
Boulder,Crypto,24.0,0.1,2022-06-14,United States
New York City,Crypto,250.0,0.2,2022-06-13,United States
Los Angeles,Media,56.0,0.33,2022-06-13,United States
SF Bay Area,Education,33.0,0.4,2022-06-13,United States
Singapore,Crypto,260.0,0.05,2022-06-10,Singapore
New Delhi,Logistics,250.0,0.3,2022-06-10,India
Berlin,Retail,100.0,0.1,2022-06-10,Germany
Sao Paulo,Healthcare,60.0,0.2,2022-06-10,Brazil
London,Finance,45.0,0.15,2022-06-10,United Kingdom
Los Angeles,Finance,20.0,0.08,2022-06-10,United States
Atlanta,Security,950.0,0.25,2022-06-09,United States
SF Bay Area,Retail,330.0,0.15,2022-06-09,United States
Stockholm,Retail,200.0,0.15,2022-06-09,Sweden
Seattle,Logistics,90.0,0.07,2022-06-09,United States
Chicago,Infrastructure,80.0,0.4,2022-06-09,United States
Malmo,Retail,70.0,0.05,2022-06-09,Sweden
