company,location,industry,total_laid_off,percentage_laid_off,date,country
Spin,SF Bay Area,Transportation,78.0,0.1,2022-09-30,United States
Mux,SF Bay Area,Infrastructure,40.0,0.2,2022-09-29,United States
DocuSign,SF Bay Area,Sales,671.0,0.09,2022-09-28,United States
Divvy Homes,SF Bay Area,Real Estate,40.0,0.12,2022-09-27,United States
Moss,Berlin,Finance,70.0,0.15,2022-09-23,Germany
Foxtrot,Chicago,Food,26.0,0.035,2022-09-23,United States
Truiloo,Vancouver,Security,24.0,0.05,2022-09-23,Canada
NYDIG,New York City,Crypto,110.0,0.33,2022-09-22,United States
Kitty Hawk,SF Bay Area,Aerospace,100.0,1.0,2022-09-21,United States
Ada,Toronto,Support,78.0,0.16,2022-09-20,Canada
99,Sao Paulo,Transportation,75.0,0.02,2022-09-20,Brazil
Vesalius Therapeutics,Boston,Healthcare,29.0,0.43,2022-09-19,United States
Clear,Bengaluru,Finance,190.0,0.2,2022-09-16,India
TrueLayer,London,Finance,40.0,0.1,2022-09-16,United States
LivePerson,New York City,Support,193.0,0.11,2022-09-15,United States
Acast,Stockholm,Media,70.0,0.15,2022-09-15,Sweden
WorkRamp,SF Bay Area,HR,35.0,0.2,2022-09-15,United States
Twilio,SF Bay Area,Other,800.0,0.11,2022-09-14,United States
Pitch,Berlin,Marketing,59.0,0.3,2022-09-14,Germany
Infarm,Berlin,Other,50.0,0.05,2022-09-14,Germany
Rubius,Boston,Healthcare,160.0,0.75,2022-09-13,United States
Checkout.com,London,Finance,100.0,0.05,2022-09-13,United Kingdom
Taboola,New York City,Marketing,100.0,0.06,2022-09-13,United States
Patreon,SF Bay Area,Media,80.0,0.17,2022-09-13,United States
Compete,Tel Aviv,HR,11.0,0.28,2022-09-12,Israel
Pomelo Fashion,Bangkok,Retail,55.0,0.08,2022-09-08,Thailand
Simple Feast,Copenhagen,Food,150.0,1.0,2022-09-07,Denmark
Intercom,SF Bay Area,Support,49.0,0.05,2022-09-07,United States
Pendo,Raleigh,Product,45.0,0.05,2022-09-07,United States
Demandbase,SF Bay Area,Sales,27.0,0.03,2022-09-07,United States
Brave Care,Portland,Healthcare,40.0,0.33,2022-09-06,United States
Lawgeex,Tel Aviv,Legal,30.0,0.33,2022-09-06,Israel
Kuda,Lagos,Finance,23.0,0.05,2022-09-02,Nigeria
2TM,Sao Paulo,Crypto,100.0,0.15,2022-09-01,Brazil
Innovaccer,SF Bay Area,Healthcare,90.0,0.08,2022-09-01,United States
Urban Sports Club,Berlin,Fitness,55.0,0.15,2022-09-01,Germany
Snap,Los Angeles,Consumer,1280.0,0.2,2022-08-31,United States
GoodRx,Los Angeles,Healthcare,140.0,0.16,2022-08-31,United States
Smava,Berlin,Finance,100.0,0.1,2022-08-31,Germany
Hippo Insurance,SF Bay Area,Finance,70.0,0.1,2022-08-31,United States
TCR2,Boston,Healthcare,30.0,0.2,2022-08-31,United States
Apartment List,SF Bay Area,Real Estate,29.0,0.1,2022-08-31,United States
Artnight,Berlin,Retail,26.0,0.36,2022-08-31,Germany
Immersive Labs,Bristol,Security,38.0,0.1,2022-08-30,United Kingdom
54gene,Washington D.C.,Healthcare,95.0,0.3,2022-08-29,United States
Argyle,New York City,Finance,20.0,0.07,2022-08-26,United States
Loja Integrada,Sao Paulo,Retail,25.0,0.1,2022-08-25,Brazil
Reali,SF Bay Area,Real Estate,140.0,1.0,2022-08-24,United States
Loop,Washington D.C.,Finance,15.0,0.2,2022-08-24,United States
Tier Mobility,Berlin,Transportation,180.0,0.16,2022-08-23,Germany
Packable,New York City,Retail,138.0,0.2,2022-08-23,United States
Q4,Toronto,Other,50.0,0.08,2022-08-23,Canada
Skedulo,SF Bay Area,HR,31.0,0.08,2022-08-23,United States
Plato,SF Bay Area,HR,29.0,0.5,2022-08-23,United States
NSO,Tel Aviv,Security,100.0,0.14,2022-08-21,Israel
Tufin,Boston,Security,55.0,0.1,2022-08-21,United States
Amperity,Seattle,Marketing,13.0,0.03,2022-08-20,United States
Wayfair,Boston,Retail,870.0,0.05,2022-08-19,United States
Hodlnaut,Singapore,Crypto,40.0,0.8,2022-08-19,Singapore
New Relic,SF Bay Area,Infrastructure,110.0,0.05,2022-08-18,United States
Wheel,Austin,Healthcare,35.0,0.17,2022-08-18,United States
Malwarebytes,SF Bay Area,Security,125.0,0.14,2022-08-17,United States
Fluke,Sao Paulo,Other,83.0,0.8200000000000001,2022-08-17,Brazil
Swyftx,Brisbane,Crypto,74.0,0.21,2022-08-17,Australia
Genesis,New York City,Crypto,52.0,0.2,2022-08-17,United States
AlayaCare,Montreal,Healthcare,80.0,0.14,2022-08-16,Canada
Pliops,Tel Aviv,Data,12.0,0.09,2022-08-16,Israel
Woven,Indianapolis,HR,5.0,0.15,2022-08-16,United States
Sema4,Stamford,Healthcare,250.0,0.13,2022-08-15,United States
Blend,SF Bay Area,Finance,220.0,0.12,2022-08-15,United States
ContraFect,New York City,Healthcare,16.0,0.37,2022-08-15,United States
Peloton,New York City,Fitness,784.0,0.13,2022-08-12,United States
Truepill,SF Bay Area,Healthcare,175.0,0.33,2022-08-11,United States
Calm,SF Bay Area,Healthcare,90.0,0.2,2022-08-11,United States
FourKites,Chicago,Logistics,60.0,0.08,2022-08-11,United States
Marketforce,Nairobi,Retail,54.0,0.09,2022-08-11,Kenya
Trybe,Sao Paulo,Education,47.0,0.1,2022-08-10,Brazil
Permutive,London,Marketing,30.0,0.12,2022-08-10,United Kingdom
GoHealth,Chicago,Healthcare,800.0,0.2,2022-08-09,United States
Hootsuite,Vancouver,Marketing,400.0,0.3,2022-08-09,Canada
Nutanix,SF Bay Area,Infrastructure,270.0,0.04,2022-08-09,United States
Quanterix,Boston,Healthcare,130.0,0.25,2022-08-09,United States
MadeiraMadeira,Curitiba,Retail,60.0,0.03,2022-08-09,Brazil
Linktree,Melbourne,Consumer,50.0,0.17,2022-08-09,Australia
Shogun,SF Bay Area,Retail,48.0,0.3,2022-08-09,United States
Groupon,Chicago,Retail,500.0,0.15,2022-08-08,United States
Loggi,Sao Paulo,Logistics,500.0,0.15,2022-08-08,Brazil
Perion,Tel Aviv,Marketing,20.0,0.05,2022-08-08,Israel
iRobot,Boston,Consumer,140.0,0.1,2022-08-05,United States
Mejuri,Toronto,Retail,50.0,0.1,2022-08-05,Canada
Uberflip,Toronto,Marketing,31.0,0.17,2022-08-05,Canada
Doma,SF Bay Area,Finance,250.0,0.13,2022-08-04,United States
Article,Vancouver,Retail,216.0,0.17,2022-08-04,Canada
Jam City,Los Angeles,Consumer,200.0,0.17,2022-08-04,United States
10X Genomics,SF Bay Area,Healthcare,100.0,0.08,2022-08-04,United States
LEAD,Mumbai,Education,80.0,0.04,2022-08-04,India
