company,location,industry,total_laid_off,percentage_laid_off,date,country,mass_layoff
Enjoy,SF Bay Area,Retail,400.0,0.18,2022-06-30,United States,1
Crejo.Fun,Bengaluru,Education,170.0,1.0,2022-06-30,India,1
Stash Financial,New York City,Finance,40.0,0.08,2022-06-30,United States,0
Nate,New York City,Retail,30.0,0.2,2022-06-30,United States,0
Stream,Boulder,Product,20.0,0.12,2022-06-30,United States,0
Finleap Connect,Hamburg,Finance,14.0,0.1,2022-06-30,Germany,0
Abra,SF Bay Area,Crypto,12.0,0.05,2022-06-30,United States,0
Unity,SF Bay Area,Other,200.0,0.04,2022-06-29,United States,1
Niantic,SF Bay Area,Consumer,85.0,0.08,2022-06-29,United States,1
Qumulo,Seattle,Data,80.0,0.19,2022-06-29,United States,1
Clutch,Toronto,Transportation,76.0,0.22,2022-06-29,Canada,1
Oye Rickshaw,New Delhi,Transportation,40.0,0.2,2022-06-29,India,0
Rows,Berlin,Other,18.0,0.3,2022-06-29,Germany,0
Baton,SF Bay Area,Transportation,16.0,0.25,2022-06-29,United States,0
Substack,SF Bay Area,Media,13.0,0.14,2022-06-29,United States,0
Huobi,Beijing,Crypto,300.0,0.3,2022-06-28,China,1
StockX,Detroit,Retail,120.0,0.08,2022-06-28,United States,1
Sidecar Health,Los Angeles,Healthcare,110.0,0.4,2022-06-28,United States,1
Vezeeta,Dubai,Healthcare,50.0,0.1,2022-06-28,United Arab Emirates,1
Bright Machines,SF Bay Area,Data,30.0,0.08,2022-06-28,Israel,0
HealthMatch,Sydney,Healthcare,18.0,0.5,2022-06-28,Australia,0
AppLovin,SF Bay Area,Marketing,300.0,0.12,2022-06-27,United States,1
UiPath,New York City,Data,210.0,0.05,2022-06-27,United States,1
Udaan,Bengaluru,Retail,180.0,0.04,2022-06-27,India,1
Banxa,Melbourne,Crypto,70.0,0.3,2022-06-27,Australia,1
SafeGraph,SF Bay Area,Data,27.0,0.25,2022-06-27,United States,0
Bitpanda,Vienna,Crypto,270.0,0.27,2022-06-24,Austria,1
Sunday,Atlanta,Finance,90.0,0.23,2022-06-24,United States,1
Bestow,Dallas,Finance,41.0,0.14,2022-06-24,United States,0
Ethos Life,SF Bay Area,Finance,40.0,0.12,2022-06-24,United States,0
Netflix,SF Bay Area,Media,300.0,0.03,2022-06-23,United States,1
Aura,Boston,Security,70.0,0.09,2022-06-23,United States,1
Pipl,Spokane,Security,22.0,0.13,2022-06-23,United States,0
Vouch,SF Bay Area,Finance,15.0,0.07,2022-06-23,United States,0
Voyage SMS,Los Angeles,Marketing,8.0,0.13,2022-06-23,United States,0
MasterClass,SF Bay Area,Education,120.0,0.2,2022-06-22,United States,1
IronNet,Washington D.C.,Security,90.0,0.35,2022-06-22,United States,1
IronNet,Washington D.C.,Security,55.0,0.17,2022-06-22,United States,1
Superpedestrian,Boston,Transportation,35.0,0.07,2022-06-22,United States,0
Voi,Stockholm,Transportation,35.0,0.1,2022-06-22,United States,0
Ritual,Toronto,Food,23.0,0.16,2022-06-22,Canada,0
Ebanx,Curitiba,Finance,340.0,0.2,2022-06-21,Brazil,1
TaskUs,Los Angeles,Support,52.0,0.0,2022-06-21,United States,1
Community,Los Angeles,Marketing,40.0,0.3,2022-06-21,United States,0
Sourcegraph,SF Bay Area,Product,24.0,0.08,2022-06-21,United States,0
Bybit,Singapore,Crypto,600.0,0.3,2022-06-20,Singapore,1
SummerBio,SF Bay Area,Healthcare,101.0,1.0,2022-06-20,United States,1
Trax,Singapore,Retail,100.0,0.12,2022-06-20,Singapore,1
Aqgromalin,Chennai,Food,80.0,0.3,2022-06-20,India,1
