company,id,,,,
Enjoy,1,,,,
Crejo.Fun,2,,,,
Stash Financial,3,,,,
Nate,4,,,,
Stream,5,,,,
Finleap Connect,6,,,,
Abra,7,,,,
Unity,8,,,,
Niantic,9,,,,
Qumulo,10,,,,
Clutch,11,,,,
Oye Rickshaw,12,,,,
Rows,13,,,,
Baton,14,,,,
Substack,15,,,,
Huobi,16,,,,
StockX,17,,,,
Sidecar Health,18,,,,
Vezeeta,19,,,,
Bright Machines,20,,,,
HealthMatch,21,,,,
AppLovin,22,,,,
UiPath,23,,,,
Udaan,24,,,,
Banxa,25,,,,
SafeGraph,26,,,,
Bitpanda,27,,,,
Sunday,28,,,,
Bestow,29,,,,
Ethos Life,30,,,,
Netflix,31,,,,
Aura,32,,,,
Pipl,33,,,,
Vouch,34,,,,
Voyage SMS,35,,,,
MasterClass,36,,,,
IronNet,37,,,,
IronNet,38,,,,
Superpedestrian,39,,,,
Voi,40,,,,
Ritual,41,,,,
Ebanx,42,,,,
TaskUs,43,,,,
Community,44,,,,
Sourcegraph,45,,,,
Bybit,46,,,,
SummerBio,47,,,,
Trax,48,,,,
Aqgromalin,49,,,,
Bonsai,50,,,,
Brighte,51,,,,
CityMall,52,,,,
BitOasis,53,,,,
Unacademy,54,,,,
Socure,55,,,,
Finite State,56,,,,
JOKR,57,,,,
Zumper,58,,,,
Swappie,59,,,,
Wealthsimple,60,,,,
Weee!,61,,,,
Notarize,62,,,,
Elementor,63,,,,
Tonkean,64,,,,
OpenWeb,65,,,,
Swyft,66,,,,
Coinbase,67,,,,
Redfin,68,,,,
Compass,69,,,,
Sami,70,,,,
Breathe,71,,,,
TIFIN,72,,,,
BlockFi,73,,,,
Wave Sports and Entertainment,74,,,,
Studio,75,,,,
Crypto.com,76,,,,
FarEye,77,,,,
Berlin Brands Group,78,,,,
Sanar,79,,,,
Freetrade,80,,,,
Albert,81,,,,
OneTrust,82,,,,
Stitch Fix,83,,,,
Daniel Wellington,84,,,,
Convoy,85,,,,
Hologram,86,,,,
Boozt,87,,,,
The Grommet,88,,,,
Stashaway,89,,,,
Preply,90,,,,
Sonder,91,,,,
Truepill,92,,,,
iPrice Group,93,,,,
Cazoo,94,,,,
Cazoo,95,,,,
Rupeek,96,,,,
Bird,97,,,,
Dutchie,98,,,,
Afterverse,99,,,,
Superhuman,100,,,,
Food52,101,,,,
Carbon Health,102,,,,
PolicyGenius,103,,,,
Yojak,104,,,,
Gemini,105,,,,
Stord,106,,,,
Gather,107,,,,
IRL,108,,,,
TomTom,109,,,,
Cybereason,110,,,,
Udayy,111,,,,
2TM,112,,,,
Curve,113,,,,
Loom,114,,,,
Impala,115,,,,
Playtika,116,,,,
Tomo,117,,,,
BookClub,118,,,,
SWVL,119,,,,
Mobile Premier League,120,,,,
SumUp,121,,,,
FrontRow,122,,,,
Uncapped,123,,,,
VTEX,124,,,,
Bitso,125,,,,
Dazn,126,,,,
Lacework,127,,,,
Bolt,128,,,,
Kontist,129,,,,
Nuri,130,,,,
Coterie Insurance,131,,,,
Gorillas,132,,,,
Klarna,133,,,,
Buenbit,134,,,,
BeyondMinds,135,,,,
ClickUp,136,,,,
Airtime,137,,,,
MFine,138,,,,
Latch,139,,,,
Outside,140,,,,
Skillz,141,,,,
Cars24,142,,,,
Vedantu,143,,,,
Netflix,144,,,,
Kry,145,,,,
Picsart,146,,,,
Zak,147,,,,
AliExpress Russia,148,,,,
DataRobot,149,,,,
Carvana,150,,,,
Doma,151,,,,
Pollen,152,,,,
Latch,153,,,,
Meero,154,,,,
Vroom,155,,,,
Reef,156,,,,
Vedantu,157,,,,
Mural,158,,,,
On Deck,159,,,,
SEND,160,,,,
Cameo,161,,,,
Mainstreet,162,,,,
Avo,163,,,,
Domestika,164,,,,
Robinhood,165,,,,
Bonsai,166,,,,
Xiaohongshu,167,,,,
Facily,168,,,,
Blend,169,,,,
QuintoAndar,170,,,,
Ahead,171,,,,
Rad Power Bikes,172,,,,
Food52,173,,,,
Unacademy,174,,,,
BitMEX,175,,,,
Legible,176,,,,
